,verbalization,subjectCQ,propertyCQ,objectCQ,theme
21,A fictional character is from a fictional universe.,What fictional character is from a fictional universe?,What is the relation between a fictional character and a fictional universe?,What fictional universe is a fictional character from?,Astronaut
22,A person is the spouse of a person?,What person's spouse is a person?,What is the relation between two people?,Who is the spouse of a person?,Astronaut
23,A person has an academic degree.,in Physics and Mathematics.,What is the relation between a person and an academic degree?,What academic degree does a person have?,Astronaut
24,A person's significant event was an event.,What person's significant event was an event?,What is the relation between a person and an event?,What is a significant event of a person?,Astronaut
25,A fictional character was created by a person.,What fictional character was created by a person?,What is the relation between a fictional character and a person?,What person created fictional character?,Astronaut
26,A person's allegiance is to a country.,What person's allegiance is to a country?,What is the relation between a person and a country?,What country is a person's allegiance?,Astronaut
27,A person died of a cause.,What person dies of a cause?,What is the relation between a person and a cause?,What cause did a person die of?,Astronaut
28,A person's burial place is a cemetery.,What person's burial place is a cemetery?,What is the relation between a person and a cemetery?,What cemetery is a person's burial place?,Astronaut
29,A person died of a cause.,What person died of a cause?,What is the relation between a person and a cause?,What did a person die from?,Astronaut
30,A person is a member of a political party.,What person is a member of a political party?,What is the relation between a person and a political party?,What political party is a person a member of?,Astronaut
31,A person's native language is a language.,What person's native language is a language?,What is the relation between a person and a language?,What language is a person's native language?,Astronaut
32,A fictional character is in a TV series.,What fictional character is in a TV series?,What is the relation between a fictional character and a TV series?,What TV series is a fictional character in?,Astronaut
33,A person is a minister.,What person is a minister?,What is the relation between a person and a ministry?,What ministry is a person a minister of?,Astronaut
34,A person is described by source in an encyclopedia.,What person is described by source in an encyclopedia?,What is the relation between a person and an encyclopedia?,What encyclopedia is a person described by?,Astronaut
35,A person is a member of an article.,What person is a member of an article?,What is the relation between a person and an article?,What article is a person a member of?,Astronaut
36,A person died in a city.,What person died in city?,What is the relation between a person and a city?,What city did a person die in?,Astronaut
37,A person died on a time.,What person died on a time?,What is the relation between a person and a time?,What time did a person die on?,Astronaut
38,A person's name in the native language is a name.,What person's name in the native language is a name?,What is the relation between a person and a name?,What is the name in the native language of a person?,Astronaut
39,A person has a number of followers on social media.,What person has a number of followers in social media?,What is the relation between a person and a number of followers on social media?,How many followers does a person have on social media?,Astronaut
40,A person is a member of the crew of a mission.,What person is a member of a crew of a mission?,What is the relation between a person and a mission?,What mission is a person a member of the crew of?,Astronaut
41,A person is a member of an army.,What person is a member of an army?,What is the relation between a person and an army?,What army is a person a member of?,Astronaut
42,A person is part of a group.,What person is part of a group?,What is the relation between a person and a group?,What group is a person a part of?,Astronaut
43,"A person speaks, writes or signs a language.","What person speaks, writes or signs a language?",What is the relation between a person and a language?,"What language does a person speak, write or sign?",Astronaut
44,A person has a military rank.,What person has a military rank?,What is the relation between a person and a military rank?,What military rank does a person have?,Astronaut
45,A name is the family name of a person.,What person's family name is a name?,What is the relation between a person and a name?,What is the family name of a person?,Astronaut
46,A person worked for an agency.,What person worked for an agency?,What is the relation between a person and an agency?,What agency did a person work for?,Astronaut
47,A person spent a number of minutes in space.,What person spent a number of minutes in space?,What is the relation between a person and a number of minutes in space?,How many minutes in space did a person spent?,Astronaut
48,A person is born in a city.,What person is born in a city?,What is the relation between a person and a city?,What city is a person born in?,Astronaut
49,A person was born on a time.,What person was born on a time?,What is the relation between a person and a time?,What time was a person born in?,Astronaut
50,A person's given name is a name.,What person's given name is a name?,What is the relation between a person and a name?,What is a person's given name?,Astronaut
51,A person's country of citizenship is a country.,What person's country of citizenship is a country?,What is the relation between a person and a country?,What country is the country of citizenship of a person?,Astronaut
52,A person has a sex or gender of gender.,What person has a sex or gender?,What is the relation between a person and sex or gender?,What sex or gender does a person have?,Astronaut
53, A person is educated at a school.,What person is educated at a school?,What is the relation between a person and a school?,What school is a person educated at?,Astronaut
54,A person's astronaut mission is a mission.,What person's astronaut mission is a mission?,What is the relation between a person and a mission?,What mission is a person's astronaut mission?,Astronaut
55,A person is a pilot.,What person is a pilot?,What is the relation between a person and a pilot?,What pilot is a person?,Astronaut
56,A person is awarded a medal.,What person is awarded a medal?,What is the relation between a person and a medal?,What medal is a person awarded?,Astronaut
57,A fictional character plays a stock character.,Who plays a stock character?,What is the relationship between a fictional character and a stock character?,What does a fictional character play?,Astronaut
58,An astronaut is nicknamed Leo.,Who is nicknamed Leo?,What is the relationship of an astronaut and Leo?,What is an astronaut nicknamed?,Astronaut
59,An engineer was involved in a war.,Who was involved in a war?,What is the relationship between an engineer and war?,Where was an engineer involved?,Astronaut
60,"A fictional character's catchphrase is ""To infinity, and beyond!""","What is ""To infinity, and beyond!""?","What is the relationship between a fictional character catchphrase and ""To infinity, and beyond!""?",What is a fictional character's catchphrase?,Astronaut
61,An astronaut is a candidate in elections.,Who is a candidate in elections?,What is the relationship between a candidate and elections?,What is an astronaut?,Astronaut
62,An astronaut is a creator of copyrighted work. ,Who is a creator of copyrighted work?,What is the relationship between an astronaut and copyrighted work?,What is an astronaut a creator of?,Astronaut
63,An astronaut's religion is Christianism,Whose religion is Chtistianism?,What is the relationship between an astronaut 's religion and Christianishm,What is the religion of an astronaut?,Astronaut
64,A pilot was a participant in the Olympic games,Who was a participant in the Olympic games?,What is the relationship between a pilot and the Olympic games?,Where was an astronaut a participant?,Astronaut
65,An astronaut's work location is in the United States,Whose work location is in the United States?,What is the relationship between an astronaut and the United States?,Where is an astronaut's work location?,Astronaut
66,An astronaut has works in public libraries.,Who has works in public libraries?,What is the relationship between an astronaut and public libraries?,Where has an astronaut works?,Astronaut
67,A comic is the media franchise of a smurfs character.,What is the media franchise of a smurfs character?,What is the relationship between a comic and a smurfs character?,What is the media franchise of a comic?,Astronaut
68,An astronaut's sport is an extreme sport,Whose is an extreme sport?,What is the relationship between an astronaut and an extreme sport?,What is an astronaut's sport?,Astronaut
69,An astronaut's residence was in Northern Asia.,Whose residency was in Northern Asia?,What was the relationship between an astronaut and Northern Asia?,Where was an astronaut's residency?,Astronaut
70,Alexey Gagarin is the father of a cosmonaut.,Who is the father of a cosmonaut?,What is the relationship between Alexey Gagarin and a cosmonaut?,Whose father is Alexey Gagarin?,Astronaut
71,An astronaut's doctoral advisor was an engineering professor.,Whose doctoral advisor was an engineering professor?,What is the relationship between an astronaut and an engineering professor?,Who is an astronaut's medical advisor?,Astronaut
72,A comic character is different from a fictional character.,Who is different from a fictional character?,What is the relationship between a comic character and a fictional character?,Who is different from a comic character?,Astronaut
73,An astronaut has 4 children.,Who has 4 children?,What is the relationship between an astronaut and 4 children? ,What an astronaut has?,Astronaut
74,A fictional character has a superhuman feature or ability called magic ,Who has a superhuman feature or ability called magic?,What is the relationship between a fictional character and a superhuman feature or ability called magic? ,What superhuman feature or ability has a fictional character? ,Astronaut
75,An astronaut's name is a dish from the ethnic group of Japan,Whose name is a dish from the ethnic group of Japan?,What is the relationship between an astronaut and Japan? and ,Whose ethnic group's dish has an astronaut's name? ,Astronaut
76,A fictional character performs with an actor.,Who performs with an actor?,What is the relationship between a fictional character and an actor?,Who performs with an actor?,Astronaut
77,An astronaut's birth name is Luca Salvo Parmitano.,Whose birth name is Luca Salvo Parmitano?,What is the relationship between an astronaut and Luca Salvo Parmitano?,What is an astronaut's birth name?,Astronaut
78,A comic is from the narrative of a fictional universe.,What is from the narrative of a fictional universe?,What is the relationship between a comic and a fictional universe?,Where comes the narrative of a comic?,Astronaut
79,A fictional character is the spouse of a fictional character.,Who is the spouse of a fictional character?,What is the relationship between a fictional character and a fictional character?,Whose spouse is a fictional character?,Astronaut
80,An astronaut has an academic degree of higher education.,Who has an academic degree of higher educational?,What is the relationship between an astronaut and higher education?,What academic degree has an astronaut?,Astronaut
81,An astronaut's significant event was walking in space.,Whose significant event was walking in space?,What is the relationship between an astronaut and walking in space?,What is a significant event for an astronaut?,Astronaut
82,A fictional character was created by a film director.,Who was created by a film director?,What is the relationship between a fictional character and a film director?,Who created a fictional character?,Astronaut
83,A cosmonaut's allegiance is to Northern Asia.,Whose allegiance is to Northern Asia?,What is the relationship between a cosmonaut and Northern Asia?,Where is an astronaut allegiance to?,Astronaut
84,An astronaut died of a cause.,Who died of a cause?,What is the relationship between an astronaut and cause of death?,What an astronaut died of?,Astronaut
85,An astronaut's burial place is a military cemetery.,Whose burial place is a military cemetery?,What is the relationship between an astronaut and a military cemetery? ,Where is an astronaut's burial place?,Astronaut
86,An astronaut died from a cause of death?,Who died from a cause of death?,What is the relationshipo between an astronaut and a cause of death?,What an astronaut died of?,Astronaut
87,An astronaut is a member of a political party?,Who is a member of a political party?,What is the relationship of an astronaut and a political party?,Where is an astronaut member?,Astronaut
88,A cosmonaut's native language is a Slavic language.,Whose native language is a Slavic language?,What is the relationship between a cosmonaut and a Slavic language?,What is the language of a cosmonaut?,Astronaut
89,A fictional character is in a fiction TV series.,Who is in a fiction TV series?,What is the relationship between a fictional character and a fiction TV series?,Where is a fictional character in?,Astronaut
90,An astronaut is a Minister. ,Who is a Minister?,What is the relationship between an astronaut and a Minister?,What is an astronaut?,Astronaut
91,A cosmonaut is described by source in an encyclopedia,Who is described by source in an encyclopedia?,What is the relationship of a cosmonaut and an encyclopedia?,Where is an astronaut described by source?,Astronaut
92,An astronaut candidate is a member of a list article?,Who is a member of a list article?,What is the relationship between an astronaut candidate and a list article?,Where is an astronaut candidate a member?,Astronaut
93,An astronaut died in the United States.,Who died in the United States?,What is the relationship between an astronaut and the United States?,Where an astronaut died?,Astronaut
94,An astronaut died on 19/09/2006.,Who died on 19/09/2006?,What is the relationship between an astronaut and 19/09/2006?,When an astronaut died?,Astronaut
95,An astronaut's name in the native language is 星出彰彦. ,Whose name in the An astronaut's name in the language is 星出彰彦? ,What is the relationship between an astronaut and 星出彰彦? ,What is an astronaut's name in a native language?,Astronaut
96,An astronaut has 1240340 followers on social media.,Who has 1240340 followers on social media?,What is the relationship between an astronaut and 1240340?,How many followers has an astronaut on social media?,Astronaut
97,is a member of the crew of the Soyuz TMA-03M.,Who is a member of the crew of the Soyuz TMA-03M?,What is the relationship between an astronaut and Soyuz TMA-03M? ,Where is an astronaut a crew member?,Astronaut
98,An astronaut is a member of the armed forces.,Whose is a member of the armed forces?,What is the relationship between an astronaut and the arm forces.,Where is an astronaut a member?,Astronaut
99,An astronaut is part of a list article.,Who is part of a list article?,What is the relationship between an astronaut and a list article?,Where is an astronaut part?,Astronaut
100,"An astronaut speaks, writes or signs in a Germanic language.","Who speaks, writes or signs in a Germanic language?",What is the relationship between an astronaut and a Germanic Language?,"In which language does an astronaut speak, write or sign?",Astronaut
101,A cosmonaut is militarian.,Who is a militarian?,What is the relationship between a cosmonaut and a militarian?,What is a cosmonaut?,Astronaut
102,An astronauts's family name is Stucky.,Whose name is Stucky?,What is the relationship between an astronaut and Stucky?,What is an astronaut's family name?,Astronaut
103,An astronaut worked for a governmental agency.,Who is working for a governmental agency?,What is the relationship between an astronaut and a governmental agency?,For whom an astronaut worked?,Astronaut
104,An astronaut spent a few minutes in space.,Who spent a few minutes in space? ,What is the relationship between an astronaut and minutes in space?,What spent an astronaut in space?,Astronaut
105,An astronaut was born in the Netherlands.,Who was born in the Netherlands?,What is the relationship between an astronaut and the Netherlands?,Where was an astronaut born?,Astronaut
106,An astronaut was born on 30/12/1931.,Who was born on 30/12/1931?,What is the relationship between an astronaut and 30/12/1931?,When was an astronaut born?,Astronaut
107,An astronaut's given name is a male name.,Whose name is a male name?,What is the relationship between an astronaut and a male name?,What is the name of an astronaut?,Astronaut
108,An astronaut's country of citizenship is in central Europe.,Whose country of citizenship is in central Europe?,What is the relationship between an astronaut and central Europe?,What is an astronaut's citizenship?,Astronaut
109,A cartoon character has a sex or gender of male.,Who has a sex or gender as a male?,What is the relationship between a cartoon character and a male?,What is the sex or gender of a cartoon character?,Astronaut
110,An astronaut was educated at the flight training school.,Who was educated at the flight training school?,What is the relationship between an astronaut and the flight training school?,Where was an astronaut educated?,Astronaut
111,A cosmonaut's mission was to be the crew on the flight?,Who has a mission to be the crew on the flight?,What is the relationship between an astronaut and a flight?,What is the mission of an astronaut?,Astronaut
112,An astronaut was pilot.,Who was a pilot?,What is the relationship between an astronaut and a pilot?,What was an astronaut?,Astronaut
113,"A cosmonaut was awarded the Medal ""For the Development of Virgin Lands"".","Who was awarded Medal ""For the Development of Virgin Lands""?","What is the relationship between a cosmonaut and the Medal ""For the Development of Virgin Lands""?",What was the award for an astronaut?,Astronaut
0,Canadian ice hockey player has 4 penalty minutes in his career.,Who has 4 penalty minutes in his career?,What does Canadian ice hockey player do with 4 penalty minutes in his career?,how many  penalty minutes does Canadian ice hockey player have in his career?,Athlete
1,Canadian ice hockey player has 35 assists in his career.,Who has 35 assists in his career?,What does Canadian ice hockey player have to do with 35 assists in his career?,How many assists does Canadian ice hockey player have in his career?,Athlete
2,"American football player and coach, basketball coach (1900-1990) was involved in 1939–1945 global war between the Allied and Axis Powers.",Who was involved in 1939–1945 global war between the Allied and Axis Powers?,"What is the connection between American football player and coach, basketball coach (1900-1990) and the 1939–1945 global war between the Allied and Axis Powers?","Where was American football player and coach, basketball coach (1900-1990) involved in?",Athlete
3,American ice hockey defenceman has 13 career points.,Who has 13 career points?,What is the connection between American ice hockey defenceman and the 13 career ponits? ,How many career points does American ice hockey defenceman have?,Athlete
4,"Polish athletics competitor is buried in a cemetery in Lublin, Poland.","Who  is buried in a cemetery in Lublin, Poland?","What does  Polish athletics competitor do in a cemetery in Lublin, Poland?",Where is Polish athletics competitor buried in?,Athlete
5,German handball player's spouse is East German handball player.,Who is  East German handball player's spouse?,What is the relation between German handball player and East German handball player?,Whos is German handball player's spouse?,Athlete
6,Japanese politician is an elected Representative of the  House of Representatives of Japan.,Who is is an elected Representative of the House of Representatives of Japan?,What does Japanese politician do in the  House of Representatives of Japan?,Where Japanese politician a member in?,Athlete
7,Sailor is the father of Olympic sailor.,Who is the father of Olympic sailor?,What is the family relation between the sailor and the Olympic sailor?,Who is the son of the sailor?,Athlete
8,"American professional wrestler died in an unforeseen and unplanned event or circumstance, often with a negative outcome.","Who died in an unforeseen and unplanned event or circumstance, often with a negative outcome?","What did American professional wrestler do in an   unforeseen and unplanned event or circumstance, often with a negative outcome?",How did  American professional wrestler die?,Athlete
9, Kosovo judoka is a member of the ethnic group.,Who is a member of the ethnic group?,What does Kosovo judoka do in the ethnic group?,Whre is Kosovo judoka a member in?,Athlete
10,English footballer (born 1962) is the coach of the  football club.,Who is the coach of the football club?,What does English footballer (born 1962) do in football club?,Where does English footballer (born 1962) coach?,Athlete
11,Chinese table tennis player has a ranking of 40.,Who has a ranking of 40?,what does,What's Chinese table tennis player ranking?,Athlete
12,Canadian ice hockey player has 357 goals in his career.,Who has 357 goals in his career?,What does Canadian ice hockey player have to do with 357 goals?,How many goals does Canadian ice hockey player have?,Athlete
13, Mexican association football player has 1 match played/races/starts.,Who has 1 match played/races/starts?,What does Mexican association football player have to do with1 match played/races/starts? ,How many matches played/races/starts does Mexican association football player have?,Athlete
14, Chilean footballer (1955-2015) died from a death by suspension of a person by a noose or ligature around the neck.,Who died from a death by suspension of a person by a noose or ligature around the neck?,What happened to Chilean footballer (1955-2015) in death by suspension of a person by a noose or ligature around the neck?,How did Chilean footballer (1955-2015) die?,Athlete
15, British rock climber lives in a city in Scotland.,Who ives in a city in Scotland?,What does British rock climber do in a city in Scotland?,Where does British rock climber live?,Athlete
16,American basketball player was drafted by Women's basketball team.,Who was drafted by Women's basketball team?,What happened to American basketball player in Women's basketball team?,Where was American basketball player drafted in?,Athlete
17,Tunisian judoka is a child of Tunisian judoka.,Who is a child of Tunisian judoka?,What is the relation between Tunisian judoka and Tunisian judoka?,Who's child is Tunisian judoka?,Athlete
18,Canadian ice hockey a player is hockey player shooting with left hand,Who is a player is hockey player shooting with left hand?,Which side ,Which hand does  Canadian ice hockey player shoot with?,Athlete
19,"Italian road bicycle racer, born 1974 is different from cyclist, born 1988.","Who is is different from cyclist, born 1988?","Are Italian road bicycle racer, born 1974 and  cyclist, born 1988 the same?","Who is different from   Italian road bicycle racer, born 1974?",Athlete
20,Canadian ice hockey player's sibling is Canadian ice hockey player. ,Who is Canadian ice hockey player's sibling?,What is the relation between Canadian ice hockey player and Canadian ice hockey player?,Who is Canadian ice hockey player's sibling?,Athlete
21,American basketball player and coach's work period (end) was in 1984.,Whose work period (end) was in 1984?,What happens to american basketball player and coach's work period in 1984?,When does American basketball player and coach work period end?,Athlete
22,Association footballer's birth name is კახა კალაძე.,Whose birth name is კახა კალაძე?,What is the relation between Association footballer and the name  კახა კალაძე?,What is Association footballer's birth name?,Athlete
23,Japanese discus thrower is known in kana as きたもり いくこ.,Who is known in kana as きたもり いくこ?,What is the relation between Japanese discus thrower and the name きたもり いくこ in kana?,What is Japanese discus thrower name in kana?,Athlete
24,Brazilian footballer has a sport number of 38.,Who has a sport number of 38?,What is the relation between Brazilian footballer and the sport number of 38?,What sport number does Brazilian footballer have?,Athlete
25,Chess player's title of chess person is the title in chess awarded by FIDE.,Whose title of chess person is the title in chess awarded by FIDE?,What does ,What is chess player's title of chess person?,Athlete
26,Turkish amateur wrestler (1930-1981) native language is Turkic language.,Whose  native language is Turkic language?,What is the relation between Turkish amateur wrestler (1930-1981) and   Turkic language?,What is Turkish amateur wrestler (1930-1981) native language?,Athlete
27,Figure skater competed in the competition class in figure skating.,Who competed in the competition class in figure skating?,What did figure skater do in the competition class in figure skating?,Where did figure skater compete?,Athlete
28, French rugby union player has 1220 followers on social media.,Who has 1220 followers on social media?,What is the relation between French rugby union player and 1220 followers on social media?,How many followers does French rugby union player have on social media?,Athlete
29,Russian ice hockey player (born 1958) won an award at the Hockey Hall of Fame.,Who won an award at the Hockey Hall of Fame?,What did Russian ice hockey player (born 1958) do at the Hockey Hall of Fame?,Where did  Russian ice hockey player (born 1958) win an award?,Athlete
30,Colombian footballer (1980-2011) started work in 2000.,Who started work in 2000?,what happened to Colombian footballer's (1980-2011) work in 2000?,When did Colombian footballer's (1980-2011) work start?,Athlete
31,badminton player  is a native speaker of the German language.,Who is a native speaker of the German language?,What is the relation between badminton player and German language?,What is badminton player's native language?,Athlete
32,English footballer and manager (born 1931) died in sovereign state in Southern Africa.,Who died in sovereign state in Southern Africa?,What happened to English footballer and manager (born 1931) in sovereign state in Southern Africa?,Where did English footballer and manager (born 1931) die?,Athlete
33,Cameroonian footballer has a mass of SI unit of mass,Who has a mass of SI unit of mass?,what,What is Cameroonian footballer's mass?,Athlete
34,College basketball player (2001–2004) Army plays in college sports league in the United States.,Who plays in college sports league in the United States?,What does college basketball player (2001–2004) Army do in  college sports league in the United States?,Where does college basketball player (2001–2004) Army play in?,Athlete
35,ollege basketball player (2014–2014) Mississippi Valley State competes in the basketball played by men competition.,Who competes in the basketball played by men competition?,What does college basketball player (2014–2014) Mississippi Valley State do in basketball played by men competition?,Where does college basketball player (2014–2014) Mississippi Valley State compete in?,Athlete
36,"Czechoslovak basketball player, sports official, volleyballist, basketball coach and volleyball coach died on 03/03/2008.",Who died on 03/03/2008?,"What happened to Czechoslovak basketball player, sports official, volleyballist, basketball coach and volleyball coach on 03/03/2008?","When did Czechoslovak basketball player, sports official, volleyballist, basketball coach and volleyball coach die?",Athlete
37, Austrian alpine skier height is 169 unit of length equal to 1/100 of a metre.,Whose height is 169 unit of length equal to 1/100 of a metre?,What is the relation between Austrian alpine skier and the 169  unit of length equal to 1/100 of a metre?,What is  Austrian alpine skier height?,Athlete
38,Mexican tennis player (2000-2000) plays in  sovereign state in North America.,Who plays in  sovereign state in North America?,What does Mexican tennis player (2000-2000) do in the sovereign state in North America?,Where does   Mexican tennis player (2000-2000) play?,Athlete
39,"basketball player (1993-) was educated at a private university in Tokyo, Japan. ","Who was educated at a private university in Tokyo, Japan?","What is the relation between basketball player (1993-) and  private university in Tokyo, Japan?",Where was  basketball player (1993-) educated?,Athlete
40,"The language spoken, written or signed by Indian footballer is the Indo-Aryan language.","What is the language spoken, written or signed by Indian footballer?",What is the relation between  Indian footballer and the Indo-Aryan language?,"What is Indian footballer spoken, written or signed  language?",Athlete
41,Spanish association football player plays on team / speciality in the  position in association football.,Who plays on team / speciality in the  position in association football?,What does Spanish association football player do in the team?,What does Spanish association football player do in the team?,Athlete
42, Canadian male curler and coach family name is Ward.,Whose family name is Ward?,What is the relation between Canadian male curler and coach and family name is Ward?,What is Canadian male curler and coach family name?,Athlete
43,Badminton player was a participant in the badminton championships.,Who was a participant in the badminton championships?,What did the badminton player do at the badminton championships?,Where did badminton player participate?,Athlete
44,"French ice hockey player was born largest city in Quebec, Canada.","Who was born largest city in Quebec, Canada?","What did French ice hockey player do in the largest city in Quebec, Canada?",Where was French ice hockey player born?,Athlete
45,Italian basketball player is from a country in Southern Europe.,Who is from a country in Southern Europe?,What is the relation between Italian basketball player and the country in Southern Europe?,Where is  Italian basketball player from?,Athlete
46,college basketball player's (1992–1993) Loyola (MD) given name is male given name.,Whose given name is male given name?,What is the relation between college basketball player (1992–1993) Loyola (MD) and male given name?,What is college basketball player (1992–1993) Loyola (MD) given name?,Athlete
47,Association football player was born on 18/10/1980.,Who was born on 18/10/1980?,What happened to association football player on 18/10/1980?,When was the association football player born?,Athlete
48,Swiss ice hockey player plays   team sport played on ice using sticks and skates.,Who plays  team sport played on ice using sticks and skates?,What does Swiss ice hockey player do in team sport played on ice using sticks and skates?,What does  Swiss ice hockey player play?,Athlete
49," The sex of Chilean association football player's is to be used in ""sex or gender"" (P21) to indicate that the human subject is a male.","Whose sex is to be used in ""sex or gender"" (P21) to indicate that the human subject is a male?","What is the relation between Chilean association football player and to be used in ""sex or gender"" (P21) to indicate that the human subject is a male? ",What is  Chilean association football player sex?,Athlete
50,American professional wrestler is a sportsperson specialized in amateur wrestling.,Who specialized in amateur wrestling?,What is the relation between American professional wrestler and sportsperson specialized in amateur wrestling ?,What  does the American professional wrestler do?,Athlete
51,Turkish basketball player is a member of the Turkish basketball team.,Who is a member of the Turkish basketball team?,What does Turkish basketball player do in the Turkish basketball team?,Where is Turkish basketball player a member in?,Athlete
52, Chess player has an Elo rating of 2416.,Who has an Elo rating of 2416?,What does,What's chess player Elo rating?,Athlete
53,The canadian ice hockey player has some penalty minutes in his career,Who has some penalty minutes in his career,Which is the relation between the canadian ice hockey player and the penalties ,How many penalty minutes does the canadian ice hockey player has?,Athlete
54,The canadian ice hockey player has a lot of assists in his career,Who has a lot of assists in his career?,Which is the relation between the canadian ice hockey player and the assists? ,How many assists does the canadian ice hockey player has in his career?,Athlete
55,The sport player was involved in a war,Who was involved in a war?,What did a sport players do in a war?,Where was the sport player involved in?,Athlete
56,The American ice hockey player has many career points?,Who has many career points?,What is the relation between the american ice hockey player and the career points? ,How many career points does the American ice hockey player has?,Athlete
57,The place of burial of the polish athletics competitor is in Poland,Whose place of burial is in Poland?,What has the place of burial of the polish athletics competitor to do with Poland?,Where is the place of the burial of the polish athletics competitor?,Athlete
58,The german handball player's spouse is an east German handball player,Who is the partner of the east German handball player?,What is the relation between the german handball player and the east german handball player?,Who is the spouse of the german handball player?,Athlete
59,The Japanese politican  is a member of elected Representative of the  House of Representatives of Japan,Who  is a member of elected Representative of the  House of Representatives of Japan?,What has the Japanese politican to do with the Representatives of the House of Representatives of Japan? ,Where is the Japanese politican part of? ,Athlete
60,A sailor is the father of an Olympic sailor,Who is the father of an Olympic sailor?,What is the relation of the sailor and the olympic sailor?,Who is the son of the sailor?,Athlete
61,"The american professional wrestler died in a unforeseen and unplanned event or circumstance, often with a negative outcome ","Who died in a unforeseen and unplanned event or circumstance, often with a negative outcome",What happened to the american professional wrestler at the unforeseen and unplanned event or circumstance?,How does the american professional wrestler died?,Athlete
62,The Kosovo judoka  is a member an the ethnic group ,Who is a member an the ethnic group ?,What does the Kosovo judoka do at the ethnic group?,Where is the Kosovo judoka part of?,Athlete
63,An English footballer is the coach of a football club,Who is the coach of a football club?,What does the english footballer do at the football club?,Where is the English footballer coaching?,Athlete
64,The Chinese table tennis player has a great ranking,Who has a great ranking?,What is the relation between the chinese table tennis player and the ranking? ,In which rank is the chinese table tennis player?,Athlete
65,The canadian ice hockey player has so much goals in his career,Who has so much goals in his career?,What is the relation of the canadian ice hockey player and so much goals?,How many goals does the canadian ice hockey player has in his career?,Athlete
66,The Mexican association football player has a single game done,Who has a single game done?,What is relation between the mexican association football player and a single game,How many games has the mexican association football player done?,Athlete
67,A Chilean footballer died by suspension of a person by a noose or ligature around the neck,Who died by suspension of a person by a noose or ligature around the neck,What links a Chilean footballer with the suspension of a person by a noose or ligature around the neck,How did the Chilean footballer die?,Athlete
68,A British rock climber lives in Scotland,Who lives in Scotland?,What does a british rock climber do in Scotland?,Where does the british rock climber lives?,Athlete
69,An american basketball player was drafted by the women's basketball team,Who was drafted by the women's basketball team,What is the relation between the american basketball player and the women's basketball team,Where was drafted the american basketball player?,Athlete
70,A Tunisian judoka is a child of a Tunisian judoka,Who is a child of a Tunisian judoka,What is the relation between the tunisian judoka and the tunisian judoka?,Who is the parent of a tunisian judoka?,Athlete
71,Canadian ice hockey player has a left-handed shot,Who has a left-handed shot?,What is the relation between Canadian ice hockey player and the left-hand shot?,What does the canadian ice hockey player has?,Athlete
72,The Italian road bicycle racer is different from the cyclist,Who is different from the cyclist,What is the relation between the Italian road bicycle racer and the cyclist?,Who is different from the italian road bicycle racer?,Athlete
