,original_triple,SubjectCQ,PropertyCQ,ObjectCQ,Theme
0,Jaime C. Lopez is different from Jaime C. Lopez.,Who is different from Jaime C. Lopez?,How does Jaime C. Lopez compare to Jaime C. Lopez?,Who is different from Jaime C. Lopez?,Politician
0,Max Becker is different from Max Becker.,Who is different from Max Becker?,How does Max Becker compare to Max Becker?,Who is different from Max Becker?,Politician
0,Ron Stevens is different from Ron Stevens.,Who is different from Ron Stevens?,How does Ron Stevens compare to other people?,Who is different from Ron Stevens?,Politician
0,Ólafur Jóhannesson is different from Ólafur Jóhannesson.,Who is different from <unk>lafur Jóhannesson?,,,Politician
0,Ihor Kononenko is different from Igor Kononenko.,Who is different from Igor Kononenko?,Ihor Kononenko is what?,Who is different from Ihor Kononenko?,Politician
0,Roger R Moore is different from Roger Moore.,Who is different from Roger Moore?,How does Roger Moore compare to him?,Which other famous person is different from Roger Moore?,Politician
0,Michael W. Collins is different from Michael James Collins.,Who is different from Michael James Collins?,What is Michael James Collins's relationship to?,Who is different from Michael W. Collins?,Politician
0,Mendoza is the second family name of Leopoldo López.,Mendoza is the second family name of what?,What is Mendoza?,What is the second family name of Leopoldo López?,Politician
0,Arévalo is the second family name of Gaspar Zarrías.,What is the second family name of Arévalo?,What is Arévalo?,,Politician
0,Alfons Casamajó Carrera is a second family name in Spanish.,What is the second family name in Spanish?,What is Alfons Casamajó Carrera?,What is the second family name of Alfons Casamajo?,Politician
0,"José María Cano Navarro is the second family name in Spanish, Navarro.",What is the second family name in Spanish?,,What is the second family name in Spanish?,Politician
0,Ramos is the second family name in Spanish for Soraya Rodríguez.,What is the second family name in Spanish?,What is Ramos?,,Politician
0,Fernando Abad Bécquer is a second family name in Spanish.,What is the second family name in Spanish?,What is Fernando Abad Bécquer?,What is the second family name of Fernando Abad?,Politician
0,Pere Carbonell i Mitjans is a second family name in Spanish name.,What is the second family name in Spanish?,What is Pere Carbonell i Mitjans?,What is the second family name in Spanish?,Politician
0,Kōtarō Shirakuni is known in kana as しらくに こうたろう.,What is the kana name for the sage?,,,Politician
0,潘永基 is the name in kana.,What is the name of the kana?,,What is the name in kana?,Politician
0,Kazuo Nakagawa's name in kana is なかがわ かずお.,Who is the name of the Japanese artist who is known by the Japanese language?,What is Kazuo Nakagawa's name in kana?,What is Kazuo Nakagawa's name in kana?,Politician
0,Misako Miyahara's name in kana is みやはら みさこ.,What is the name of the Japanese artist?,What is Misako Miyahara's name in kana?,What is Misako Miyahara's name in kana?,Politician
0,Chikara Higashi's name in kana is ひがし ちから.,Who is the name of the kana singer?,What is Chikara Higashi's name in kana?,What is Chikara Higashi's name in kana?,Politician
0,Seiji Osaka's name in kana is おおさか せいじ.,Who is the name of the Japanese artist who is known by the Japanese language?,What is Seiji Osaka's name in kana?,What is Seiji Osaka's name in kana?,Politician
0,Makoto Watanabe's name in kana is わたなべ まこと.,What is the name of the kana artist?,What is Makoto Watanabe's name in kana?,What is Makoto Watanabe's name in kana?,Politician
0,Joseph T. McNarney is a member of the United States Air Force.,Who is a member of the United States Air Force?,What branch of the US military is McNarney a member of?,What is Joseph T. McNarney a member of?,Politician
0,Charles Curtis Craig is a member of the British Army.,Who is a member of the British Army?,What branch of the British government is Craig a member of?,What military unit is Charles Curtis Craig a member of?,Politician
0,Thomas Atkinson is a member of the United States Navy.,Who is a member of the United States Navy?,What branch of the US military is Thomas Atkinson a member of?,What is Thomas Atkinson a member of?,Politician
0,Ortuño María de Aguirre has a military branch called the Spanish Army.,What city has a military branch called the Spanish Army?,What is the Spanish Army?,,Politician
0,Douglas Spencer-Nairn is a member of the British Army.,Who is a member of the British Army?,What branch of the British Army is Douglas Spencer-Nairn a member of?,What military unit is Douglas Spencer-Nairn a member of?,Politician
0,Daniel H Reynolds is a member of the Confederate States Army.,Who is a member of the Confederate States Army?,What branch of the military is Reynolds a member of?,What is Daniel H Reynolds a member of?,Politician
0,Gordon Hamish Martin Pirie is a member of the Royal Air Force.,Who is a member of the Royal Air Force?,What branch of the military is Gordon Hamish Martin Pirie a member of?,What is Gordon Hamish Martin Pirie a member of?,Politician
0,Yasser Al-Badawi died of homicide.,Who died of homicide?,What was Yasser Al-Badawi's cause of death?,What was Yasser Al-Badawi's cause of death?,Politician
0,陳良謨 is a type of death that is called suicide.,What is a type of death called suicide?,What is suicide?,What is the term for a type of death called?,Politician
0,Soumaïla Cissé died of natural causes.,Who died of natural causes?,,,Politician
0,Pinkie C. Wilkerson died in an accident.,Who died in an accident?,What was Pinkie Wilkerson's cause of death?,What caused Pinkie C. Wilkerson's death?,Politician
0,James Metzen died of natural causes.,Who died of natural causes?,What was the cause of death of James Metzen?,What was the cause of death of James Metzen?,Politician
0,Donald Buchanan died of natural causes.,Who died of natural causes?,What was Donald Buchanan's cause of death?,What caused Donald Buchanan's death?,Politician
0,Stanisław Bobiński died with the capital punishment.,Who died with the capital punishment?,,,Politician
0,Miao Wei is a member of the Han Chinese people.,Who is a member of the Han Chinese people?,What is Miao Wei a member of?,What is Miao Wei a member of?,Politician
0,Boris Zmejkovski is a member of the ethnic group of Macedonians.,Who is a member of the ethnic group of Macedonians?,What group is Boris Zmejkovski a member of?,Boris Zmejkovski is a member of what ethnic group?,Politician
0,Yvonne Bijenhof is part of the ethnic group Tukkers.,Who is part of the ethnic group Tukkers?,What is Yvonne Bijenhof a part of?,What ethnic group is Yvonne Bijenhof a part of?,Politician
0,The ethnic group of Velimir Ilić is Serbs.,What is the ethnic group of?,,,Politician
0,Albanians are an ethnic group in Abas Mezini.,Where are Albanians an ethnic group?,What are Albanians?,What ethnic group is in Abas Mezini?,Politician
0,The ethnic group of Mykola Yakovyna is Ukrainians.,What ethnic group is Ukrainian?,What is Mykola Yakovyna?,What is the ethnic group of Mykola Yakovyna?,Politician
0,Hryhoriy Lehkyi is a ethnic group of Ukrainians.,What is the ethnic group of Ukrainians?,What is Hryhoriy Lehkyi?,What ethnic group is Hryhoriy Lehkyi?,Politician
0,Aída García Naranjo's birth name is Aída del Carmen Jesús Consuelo García-Naranjo Morales.,What is Naranjo's birth name?,,,Politician
0,Ida Pohl is the birth name of Ida Wolff.,What is the birth name of?,What is Ida Pohl?,What is the birth name of Ida Wolff?,Politician
0,Bekor Ashot's birth name is Աշոտ Հմայակի Ղուլյան.,What is the birth name of Bekor Ashot?,What is Bekor Ashot's first name?,What is Bekor Ashot's birth name?,Politician
0,Marusan's birth name is 菅原 博文.,What is Marusan's birth name?,What is Marusan's first name?,What is Marusan's birth name?,Politician
0,Judit Carreras i Tort is the birth name of Judit Carreras i Tort.,What is the birth name of Judit Carreras i Tort?,What is the name of Judit Carreras i Tort?,What is the birth name of Judit Carreras i Tort?,Politician
0,William Edward Haslam is the birth name of Bill Haslam.,What is the birth name of Bill Haslam?,What is the birth name of Bill Haslam?,What is the birth name of Bill Haslam?,Politician
0,Algot Untola's birth name is Algoth Tietäväinen.,What is Algoth Tietäväinen?,What is Algot Untola's birth name?,What is Algot Untola's birth name?,Politician
0,Sid McMath's military rank is a major general.,Who has a military rank of major general?,What is Sid McMath's rank?,What is Sid McMath's military rank?,Politician
0,Abelardo Colomé Ibarra is a general de corps d'armée.,Who is the general de corps d'armée?,What is Abelardo Colomé Ibarra's rank?,What is Abelardo Colomé Ibarra's job title?,Politician
0,"Generalissimo is the military rank of François de Bonne, Duke of Lesdiguières.",What is the military rank of Generalissimo?,What is Generalissimo?,What is the military rank of François de Bonne?,Politician
0,Prince Yamashina Takehiko is a commander.,Who is a commander?,What is Prince Yamashina Takehiko's rank?,What is Prince Yamashina Takehiko's job title?,Politician
0,"David Somerset, 11th Duke of Beaufort has the rank of lieutenant.",Who has the rank of lieutenant?,What is Somerset's rank?,What rank does David Somerset hold?,Politician
0,Ettore de Sonnaz is a general.,Who is a general?,What is Ettore de Sonnaz's rank?,What is Ettore de Sonnaz's job?,Politician
0,Mamadou Mansour Seck is a divisional general.,Who is a divisional general?,What is Seck's rank?,What is Mamadou Mansour Seck's job title?,Politician
0,Nils Philip Gyldenstolpe died in ålderdomssvaghet.,Who died in <unk>lderdomssvaghet?,,Where did Nils Philip Gyldenstolpe die?,Politician
0,Paul Robeson died from a stroke.,Who died from a stroke?,What was the cause of death of Paul Robeson?,What caused Paul Robeson to die?,Politician
0,Robert Corbet died from the plague.,Who died from the plague?,What was the cause of death of Robert Corbet?,What disease caused Robert Corbet's death?,Politician
0,Eduardo van den Eynde died of cancer.,Who died of cancer?,What was Eduardo van den Eynde's cause of death?,What was Eduardo van den Eynde's cause of death?,Politician
0,"Conrad, Duke of Lorraine died in action.",Who died in action?,What was Conrad's cause of death?,What happened to Conrad?,Politician
0,The cause of death of Prince Gennaro of Naples and Sicily is smallpox.,Who died of smallpox?,What is smallpox?,What was the cause of death of Prince Gennaro?,Politician
0,Adolf II of Holstein died in action.,Who died in action?,What was the cause of death?,What happened to Adolf II of Holstein?,Politician
0,Erica Terpstra was a participant in the 1964 Summer Olympics.,Who participated in the 1964 Summer Olympics?,What was Terpstra's role in the 1964 Summer Olympics?,What was Erica Terpstra a participant in?,Politician
0,Dmitry Lelyushenko was a participant in the 19th Congress of the Communist Party of the Soviet Union.,Who was a participant in the 19th Congress of the Communist Party of the Soviet Union?,What was Dmitry Lelyushenko's role in the 19th Congress of the Communist Party of the Soviet Union?,What Congress was Lelyushenko a participant in?,Politician
0,Михаил Андреевич Антипов was a participant in the 18th Congress of the All-Union Communist Party.,Who was a participant in the 18th Congress of the All-Union Communist Party?,,,Politician
0,"Корепанов, Павел Петрович was a participant in the 19th Congress of the Communist Party of the Soviet Union.",Who was a participant in the 19th Congress of the Communist Party of the Soviet Union?,,,Politician
0,Siergiej Puzikow was a participant in the 21st Congress of the Communist Party of the Soviet Union.,Who was a participant in the 21st Congress of the Communist Party of the Soviet Union?,What was Siergiej Puzikow's role in the 21st Congress of the Communist Party of the Soviet Union?,What was Siergiej Puzikow a participant in?,Politician
0,Ernst Burgbacher was a participant in the 2009 German presidential election.,Who participated in the 2009 German presidential election?,What was Ernst Burgbacher's role in the 2009 German presidential election?,Ernst Burgbacher was a participant in what election?,Politician
0,Beate Reich was a participant in the 2004 German presidential election.,Who was a participant in the 2004 German presidential election?,What was Beate Reich's role in the 2004 German presidential election?,What election was Beate Reich a participant in?,Politician
0,Ivan Plyushch holds an academic degree as a Candidate of Economic Sciences.,Who holds an academic degree as a Candidate of Economic Sciences?,What type of degree does Ivan Plyushch hold?,What is Ivan Plyushch's academic degree?,Politician
0,Gaetano Grassi graduated with a laurea.,Who graduated with a laurea?,What type of degree did Gaetano Grassi receive?,What did Gaetano Grassi graduate with?,Politician
0,Eldhose Kunnappilly has an academic degree of Bachelor of Education.,Who holds a Bachelor of Education?,What is Eldhose Kunnappilly's degree?,What degree does Eldhose Kunnappilly hold?,Politician
0,Eleni Theocharous has an academic degree of Bachelor of Philosophy.,Who holds a Bachelor of Philosophy?,What is Eleni Theocharous's degree?,What degree does Eleni Theocharous hold?,Politician
0,Agostino Rosselli graduated with a laurea.,Who graduated with a laurea?,What type of degree did Rosselli receive?,What did Rosselli receive?,Politician
0,Jinshi is an academic degree.,What is Jinshi's degree?,What is Jinshi?,What is the name of the degree that is earned by a university?,Politician
0,Jinshi is an academic degree.,What is Jinshi's degree?,What is Jinshi?,What is the name of the degree that is earned by a university?,Politician
0,"Walter Stewart, 3rd High Steward of Scotland, is a member of the family House of Stuart.",Who is a member of the family House of Stuart?,What is the House of Stuart?,What family is Walter Stewart a member of?,Politician
0,Marqua of Armagnac is a member of the family House of Armagnac.,What is the name of the member of the House of Armagnac?,What is the House of Armagnac?,What family is Marqua of Armagnac a member of?,Politician
0,Mentuhotep IV is a member of the Eleventh Dynasty of Egypt.,Who is a member of the Eleventh Dynasty of Egypt?,What is Mentuhotep IV a member of?,Mentuhotep IV is a member of what dynasty?,Politician
0,Godhard von der Recke is a member of the Huis Recke family.,Who is a member of the Huis Recke family?,What is Godhard von der Recke a member of?,What family is Godhard von der Recke a member of?,Politician
0,Giorgio Contarini is a member of the Contarini family.,Who is a member of the Contarini family?,What is Giorgio Contarini a member of?,What family is Giorgio Contarini a member of?,Politician
0,Eleonor Magdalene of Neuburg is a member of the family House of Wittelsbach.,Who is a member of the family House of Wittelsbach?,What is Eleonor Magdalene a member of?,Eleonor Magdalene is a member of what family?,Politician
0,Antonio I Moncada is a member of the family House of Moncada.,Who is a member of the family House of Moncada?,What is the House of Moncada?,What family is Antonio I Moncada a member of?,Politician
0,"Sir Martin Lindsay, 1st Baronet was involved in the World War II.",Who was involved in the World War II?,What was Sir Martin Lindsay involved in?,What war was Sir Martin Lindsay involved in?,Politician
0,Aymar Achille-Fould was involved in the First Indochina War.,Who was involved in the First Indochina War?,What was the first Indochina War?,What war was Aymar Achille-Fould involved in?,Politician
0,Charles Wayland Brooks was involved in the World War I.,Who was involved in the World War I?,What was Charles Wayland Brooks involved in?,Charles Wayland Brooks was involved in what war?,Politician
0,Kim Il-sung is involved in the Pacification of Manchukuo.,Who is involved in the Pacification of Manchukuo?,What type of conflict is Kim Il-sung involved in?,What is Kim Il-sung involved in?,Politician
0,"Richard Herbert, 2nd Baron Herbert of Chirbury was involved in the English Civil War.",Who was involved in the English Civil War?,What was the English Civil War?,What war was Richard Herbert involved in?,Politician
0,Nelson Taylor was involved in the American Civil War.,Who was involved in the American Civil War?,What was Nelson Taylor involved in?,Nelson Taylor was involved in what war?,Politician
0,Agustí Albors i Blanes was involved in the Spanish Revolution of 1845.,Who was involved in the Spanish Revolution of 1845?,What was the cause of the Spanish Revolution?,,Politician
0,Peter of Portugal has a noble title.,What noble title does Peter hold?,What is Peter of Portugal's title?,What is Peter's title?,Politician
0,Garcia of Castile has the noble title Infante de Castilla.,What is the noble title of Infante de Castilla?,What is Garcia's title?,What noble title does Garcia hold?,Politician
0,Zhao Zidi's noble title is the Imperial prince.,Who is the Imperial prince?,What is Zhao Zidi's title?,What is Zhao Zidi's noble title?,Politician
0,The noble title of Mohammed VI is king.,What is the noble title of the ruler?,What is the title of Mohammed VI?,What is the noble title of Mohammed VI?,Politician
0,Louis I was the noble title of the titular King of Naples.,What title was the titular King of Naples?,What was Louis I's title?,What title did Louis I hold?,Politician
0,"John, King of England has the noble title of monarch of England.",Who has the noble title of monarch of England?,What is John's title?,What noble title does John hold?,Politician
0,Vasili IV of Russia has the noble title of Tsar of All Russia.,Who has the title of Tsar of All Russia?,What is Vasili IV's title?,What noble title does Vasili IV hold?,Politician
0,Arkadiusz Mularczyk has 27674 followers on social media.,Who has 27674 followers on social media?,How many followers does Arkadiusz Mularczyk have?,How many followers does Arkadiusz Mularczyk have on social media?,Politician
0,Michael Bloomberg has 2760314 followers on social media.,Who has 2760314 followers on social media?,How many followers does Michael Bloomberg have?,How many followers does Michael Bloomberg have on social media?,Politician
0,Borja Cabezón Royo has 2149 followers on social media.,Who has 2149 followers on social media?,How many followers does Borja Cabezón Royo have?,How many followers does Borja Cabezón Royo have?,Politician
0,Samy Badibanga has 118584 followers on social media.,Who has 118584 followers on social media?,How many followers does Samy Badibanga have?,How many followers does Samy Badibanga have on social media?,Politician
0,Miluše Horská has 1005 followers on social media.,Who has 1005 followers on social media?,,,Politician
0,Gary Palmer has 21427 followers on social media.,Who has 21427 followers on social media?,How many followers does Gary Palmer have?,How many followers does Gary Palmer have on social media?,Politician
0,Nadia Sminate has 6870 followers on social media.,Who has 6870 followers on social media?,How many followers does Nadia Sminate have?,How many followers does Nadia Sminate have on social media?,Politician
0,Tom Birmingham was a significant event in the 2001-2002 Massachusetts legislature.,Who was a significant event in the 2001-2002 Massachusetts legislature?,What was Tom Birmingham's role in the Massachusetts legislature?,What legislature did Tom Birmingham represent?,Politician
0,"J. James Marzilli, Jr. was a significant event in the 1993-1994 Massachusetts legislature.",Who was a significant event in the 1993-1994 Massachusetts legislature?,,,Politician
0,William Henry Irving Hayes was a significant event in the 1905 Massachusetts legislature.,What was a significant event in the 1905 Massachusetts legislature?,What was William Henry Irving Hayes?,In what year was William Henry Irving Hayes a significant event?,Politician
0,Joseph William Monahan was a significant event in the 1933-1934 Massachusetts legislature.,Who was a significant event in the 1933-1934 Massachusetts legislature?,What was Joseph William Monahan?,Joseph William Monahan was a significant event in what legislature?,Politician
0,Wendell P. Clark was a significant event in the 1911 Massachusetts legislature.,Who was a significant event in the 1911 Massachusetts legislature?,What was Wendell P. Clark considered to be in the 1911 Massachusetts legislature?,In what year was Wendell P. Clark a significant event?,Politician
0,George Dyer Eldridge was a significant event in the 1880 Massachusetts legislature.,Who was a significant event in the 1880 Massachusetts legislature?,What was George Dyer Eldridge considered in the 1880 Massachusetts legislature?,What legislature did George Dyer Eldridge represent?,Politician
0,Thomas P. Curtin was a significant event in the 1911 Massachusetts legislature.,Who was a significant event in the 1911 Massachusetts legislature?,What was Thomas P. Curtin in the 1911 Massachusetts legislature?,In what year was Thomas P. Curtin a significant event?,Politician
0,The Armenian Apostolic Church is the religion of Suren Abrahamian.,What religion is the Armenian Apostolic Church?,What is Suren Abrahamian?,What is the religion of Suren Abrahamian?,Politician
